,hd_mean,dice_mean,hd_GPU_mean,dice_GPU_mean,hd_std,dice_std,hd_GPU_std,dice_GPU_std
0,0.0004137871728744358,7.025361264823005e-05,0.009858880192041397,0.0002503812429495156,0.00156175228767097,9.741778922034428e-05,0.09471621364355087,0.00010761662269942462
1,0.0013647107407450676,0.00028333329828456044,0.0013285991735756397,0.00044635034282691777,0.00037044635973870754,3.683221439132467e-05,7.784518675180152e-05,5.398219946073368e-05
2,0.004755231551826,0.0010190687607973814,0.004535629414021969,0.0010344930924475193,0.0002570349024608731,6.987372762523592e-05,0.0002091571659548208,5.674472777172923e-05
3,0.009937603026628494,0.0021866154856979847,0.009435215964913368,0.0018764121923595667,0.0002751753490883857,0.00011186446499777958,0.00022700433328282088,8.275363506982103e-05
4,0.01685549132525921,0.003641034010797739,0.016325337812304497,0.0031098800245672464,0.0004000683256890625,0.0001256364630535245,0.00031791217043064535,0.00010552362800808623
5,0.026372713968157768,0.00558451097458601,0.02549222856760025,0.00453692302107811,0.0005788799608126283,0.00016875941946636885,0.0005626596393994987,0.0001424821384716779
6,0.038447462022304535,0.007803216576576233,0.03553897142410278,0.006406583357602358,0.001174430944956839,0.0002570266369730234,0.0007031852146610618,0.00015926567721180618
7,0.05075989291071892,0.01042452547699213,0.049854669719934464,0.008617900311946869,0.0012320387177169323,0.00027150550158694386,0.0011281386250630021,0.00022534180607181042
8,0.06929376721382141,0.013713124208152294,0.06629692763090134,0.011146076023578644,0.0014219066360965371,0.00030766610871069133,0.0010014389408752322,0.00019138300558552146
9,0.08904103934764862,0.01802854612469673,0.08211853355169296,0.013756820932030678,0.002001027576625347,0.0005430242163129151,0.002723574871197343,0.00030631310073658824
