,hd_mean_cpu_purePython,dice_mean_cpu_purePython,hd_mean_gpu_purePython,dice_mean_gpu_purePython,hd_std_cpu_purePython,dice_std_cpu_purePython,hd_std_gpu_purePython,dice_std_gpu_purePython
0,4.701447323895991e-05,5.001043973607011e-05,0.001072245417162776,0.00019103694648947567,4.992530375602655e-05,5.0010447012027726e-05,0.009432772174477577,6.017683699610643e-05
1,0.00011450314923422411,9.401917486684397e-05,0.00011853312753373757,0.0001890370767796412,7.693480438319966e-05,6.607294926652685e-05,0.00017433514585718513,0.00011306630040053278
2,0.00028711199411191046,0.00021304655820131302,0.00012776590301655233,0.00017702460172586143,0.0001604450517334044,0.0001246505999006331,0.00011500757682370022,5.071034320280887e-05
3,0.0004831427941098809,0.00026506427093409,0.00016605759446974844,0.0001705436734482646,0.00016441417392343283,0.00023473519831895828,0.00016571093874517828,0.00012067237548762932
4,0.0017925145803019404,0.0004811396065633744,0.0002002558612730354,0.0002333478769287467,0.00011974537483183667,0.00020040993695147336,0.00010661108535714447,7.911891589174047e-05
5,0.002722578588873148,0.0006422002334147692,0.00018760134116746485,0.00023806116951163858,0.00015112757682800293,0.0001626195735298097,0.00011053199705202132,8.921030530473217e-05
6,0.0037483242340385914,0.002140980213880539,0.00017902541731018573,0.00025106765679083765,0.00014042841212358326,0.00011799511412391439,0.0001320933224633336,0.00010053507139673457
7,0.005003633908927441,0.002833457663655281,0.0002040002291323617,0.00024106979253701866,0.00014303330681286752,0.00016610808961559087,0.00011734227155102417,0.00015242233348544687
8,0.005886625498533249,0.003355778753757477,0.0001850533444667235,0.00023839474306441844,0.00015307434659916908,0.0001597074297023937,0.00010899893823079765,0.00013670604676008224
9,0.006971136201173067,0.003730204189196229,0.00021044396271463484,0.0002771089202724397,0.00016571814194321632,0.00011245232599321753,0.00012616219464689493,0.00010854344873223454
