,dt_mean_cpu_purePython,dt_std_cpu_purePython
0,2.7005195079254918e-05,4.440449265530333e-05
1,0.0006491782260127366,0.00025872161495499313
2,0.0023091512266546488,9.188454714603722e-05
3,0.005324008408933878,0.00019143297686241567
4,0.010115768760442734,0.0002759703784249723
5,0.015294495038688183,0.0002250311808893457
6,0.022054212167859077,0.00021038594422861934
7,0.030263978987932205,0.0004719294374808669
8,0.03988572955131531,0.0007557714707218111
9,0.05045527592301369,0.0007576355128549039
